recipe,sku,ingredient_1,ingredient_2,link
Cinnamon Fruit Scoop,Tostitos¨ Scoops,Assorted seasonal fruit ,Unmarked Container of  Plain Yogurt,http://tostitos.ca/recipes/creamy-cinnamon-fruit-scoops
Jacked Up Salsa,Tostitos Medium Salsa,Avocado ,Corn cob,"Beauty shot available, link to website WIP - Timeline TBD"
Fro-Yo Bites,Tostitos¨ Scoops,Plain Frozen Yogurt,Chocolate Chunk,http://tostitos.ca/recipes/froyo-bites
Tomato Avacado Scoop,Tostitos¨ Scoops,Tomato ,Avocado ,http://tostitos.ca/recipes/avocado-and-cherry-tomato-multigrain-scoops
Buffalo Mozzarella Bites,Tostitos¨ Rounds,Tomato ,Buffalo Mozzarella Cheese,http://tostitos.ca/recipes/buffalo-mozzarella-bites
Brie & Crann Scoop,Tostitos¨ Scoops,Cranberries ,Brie Cheese,http://tostitos.ca/recipes/brie-and-cranberry-bites
Grilled Veggie Scoops,Tostitos¨ Scoops,Zucchini,Yellow Squash,http://tostitos.ca/recipes/grilled-veggies-tostitossuprsup-scoopssuprsup
Chocolate Bacon Explosion,Tostitos¨ Cantina Thick,Chocolate Chunk,Bacon Strips,"Delivery of beauty shot, link to website WIP - Timeline TBD"
Fancy Grilled Cheese,Tostitos¨ Rounds,Green Apple ,Cheddar Cheese,"Delivery of beauty shot, link to website WIP - Timeline TBD"
Tuna Melt,Tostitos¨ Restaurant Style ,Tuna,Cheddar Cheese,"Delivery of beauty shot, link to website WIP - Timeline TBD"
